AIRPORTIATACODE,ID,AIRPORTICAOCODE,TERMINALCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYCODE,REGIONCODE,COUNTRYNAME,ISO_CODE,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,AIRPORTLATITUDE,AIRPORTLONGITUDE,LOAD_TIME
AAA,1,NTGA,,Anaa Airport,AAA,Anaa,PF,,French Polynesia,PYF,OCEA,,Oceania,OC,Oceania,1,-17.355648,-145.50913,
AAB,2,YARY,,Arrabury Airport,AAB,Arrabury,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-26.691196,141.047509,
AAC,3,HEAR,,El Arish International Airport,AAC,El Arish,EG,,Egypt,EGY,MIDE,,Middle East,AS,Asia,1,31.076415,33.832288,
AAD,4,,,Adado Airport,AAD,Adado,SO,,Somalia,SOM,SAFR,,Subsaharan Africa,AF,Africa,1,6.095833,46.6375,
AAE,5,DABB,,Rabah Bitat Airport,AAE,Annaba,DZ,,Algeria,DZA,NAFR,,North Africa,AF,Africa,1,36.821392,7.811857,
AAF,6,KAAF,,Apalachicola Regional Airport,AAF,Apalachicola,US,US_FL,U.S.A.,USA,NAME,Florida,North America,AM,America,1,29.733333,-84.983333,
AAG,7,,,Arapoti Airport,AAG,Arapoti,BR,BR_PR,Brazil,BRA,SAME,Parana,South America,AM,America,1,-24.103611,-49.79,
AAH,8,EDKA,,Merzbruck Airport,AAH,Aachen,DE,DENOR,Germany,DEU,WEUR,North Rhine Westphalia,Western Europe,EU,Europe,1,50.823055,6.186389,
AAI,9,SWRA,,Arraias Airport,AAI,Arraias,BR,BR_TO,Brazil,BRA,SAME,Tocantins,South America,AM,America,1,-12.916667,-46.933333,
AAJ,10,,,Cayana Airstrip,AAJ,Awaradam,SR,,Suriname,SUR,SAME,,South America,AM,America,1,3.9,-55.366667,
AAK,11,NGUK,,Aranuka Airport,AAK,Aranuka,KI,,Kiribati,KIR,OCEA,,Oceania,OC,Oceania,1,0.166667,173.583333,
AAL,12,EKYT,,Aalborg Airport,AAL,Aalborg,DK,,Denmark,DNK,NEUR,,Northern Europe,EU,Europe,1,57.086551,9.872241,
AAM,13,FAMD,,Mala Mala Airport,AAM,Mala Mala,ZA,,South Africa,ZAF,SAFR,,Subsaharan Africa,AF,Africa,1,-24.8,31.533333,
AAN,14,OMAL,,Al Ain Airport,AAN,Al Ain,AE,,United Arab Emirates,ARE,MIDE,,Middle East,AS,Asia,1,24.260231,55.616626,
AAO,15,SVAN,,Anaco Airport,AAO,Anaco,VE,,Venezuela,VEN,SAME,,South America,AM,America,1,9.431944,-64.463889,
AAP,16,,,AP Tumenggung Pranoto Airport,SRI,Samarinda,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,-0.372898,117.250905,
AAQ,17,URKA,,Anapa Airport,AAQ,Anapa,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,45.001659,37.346599,
AAR,18,EKAH,,Aarhus Airport,AAR,Aarhus,DK,,Denmark,DNK,NEUR,,Northern Europe,EU,Europe,1,56.30823,10.626351,
AAS,19,,,Apalapsili Airport,AAS,Apalapsili,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,-3.916667,139.25,
AAT,20,ZWAT,,Altay Airport,AAT,Altay,CN,CNXIN,China,CHN,NEAS,Xinjiang,North East Asia,AS,Asia,1,47.750361,88.084444,
AAU,21,,,Asau Airport,AAU,Asau,WS,,Samoa,WSM,OCEA,,Oceania,OC,Oceania,1,-13.458333,-172.6,
AAV,22,RPMA,,Allah Valley Airport,AAV,Surallah,PH,,Philippines,PHL,SEAS,,South East Asia,AS,Asia,1,6.367314,124.752781,
AAW,23,,,Aachen Bf West Bus St,AAW,Abbottabad,PK,,Pakistan,PAK,SASI,,South Asia,AS,Asia,1,50.7825,6.071666667,
AAX,24,SBAX,,Araxa Airport,AAX,Araxa,BR,BR_MG,Brazil,BRA,SAME,Minas Gerais,South America,AM,America,1,-19.568056,-46.929167,
AAY,25,OYGD,,Al Ghaydah Airport,AAY,Al Ghaydah,YE,,Yemen,YEM,MIDE,,Middle East,AS,Asia,1,16.195959,52.173255,
AAZ,26,,,Quetzaltenan Airport,AAZ,Quetzaltenan,GT,,Guatemala,GTM,CAME,,Central America,AM,America,1,14.86388889,-91.52027778,
ABA,27,UNAA,,Abakan Airport,ABA,Abakan,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,53.740002,91.385002,
ABB,28,DNAS,,Asaba International Airport,ABB,Asaba,NG,,Nigeria,NGA,SAFR,,Subsaharan Africa,AF,Africa,1,6.203055,6.667222,
ABC,29,LEAB,,Albacete Airport,ABC,Albacete,ES,ESCAM,Spain,ESP,SEUR,Castile la Mancha,Southern Europe,EU,Europe,1,38.948333,-1.863333,
ABD,30,OIAA,,Abadan Airport,ABD,Abadan,IR,,Iran,IRN,SASI,,South Asia,AS,Asia,1,30.363905,48.226598,
ABE,31,KABE,,Lehigh Valley International Airport,ABE,Allentown,US,US_PA,U.S.A.,USA,NAME,Pennsylvania,North America,AM,America,1,40.651573,-75.434366,
ABF,32,,,Abaiang Airport,ABF,Abaiang,KI,,Kiribati,KIR,OCEA,,Oceania,OC,Oceania,1,1.670833,173.304167,
ABG,33,,,Abingdon Airport,ABG,Abingdon,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-17.666667,143.2,
ABH,34,YAPH,,Alpha Airport,ABH,Alpha,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-23.65,146.633333,
ABI,35,KABI,,Abilene Regional Airport,ABI,Abilene,US,US_TX,U.S.A.,USA,NAME,Texas,North America,AM,America,1,32.412843,-99.680052,
ABJ,36,DIAP,,Felix Houphouet Boigny Airport,ABJ,Abidjan,CI,,Ivory Coast,CIV,SAFR,,Subsaharan Africa,AF,Africa,1,5.254879,-3.933015,
ABK,37,HAKD,,Kabri Dar Airport,ABK,Kabri Dar,ET,,Ethiopia,ETH,SAFR,,Subsaharan Africa,AF,Africa,1,6.733207,44.249676,
ABL,38,PAFM,,Ambler Airport,ABL,Ambler,US,US_AK,U.S.A.,USA,NAME,Alaska,North America,AM,America,1,67.0875,-157.845833,
ABM,39,YNEP,,Northern Peninsula Airport,ABM,Bamaga,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-10.942619,142.450334,
ABN,40,,,Albina Airport,ABN,Albina,SR,,Suriname,SUR,SAME,,South America,AM,America,1,5.5,-54.083333,
ABO,41,DIAO,,Aboisso Airport,ABO,Aboisso,CI,,Ivory Coast,CIV,SAFR,,Subsaharan Africa,AF,Africa,1,5.433333,-3.216667,
ABP,42,,,Atkamba Airport,ABP,Atkamba,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-6.066667,141.1,
ABQ,43,KABQ,,Albuquerque International Sunport,ABQ,Albuquerque,US,US_NM,U.S.A.,USA,NAME,New Mexico,North America,AM,America,1,35.049625,-106.617193,
ABR,44,KABR,,Aberdeen Regional Airport,ABR,Aberdeen,US,US_SD,U.S.A.,USA,NAME,South Dakota,North America,AM,America,1,45.44906,-98.421829,
ABS,45,HEBL,,Abu Simbel Airport,ABS,Abu Simbel,EG,,Egypt,EGY,MIDE,,Middle East,AS,Asia,1,22.367567,31.609773,
ABT,46,OEBA,,Al-Aqiq Airport,ABT,Al-Baha,SA,,Saudi Arabia,SAU,MIDE,,Middle East,AS,Asia,1,20.294011,41.64002,
ABU,47,WATA,,Haliwen Airport,ABU,Atambua,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,-9.075208,124.906972,
ABV,48,DNAA,,Nnamdi Azikiwe International Airport,ABV,Abuja,NG,,Nigeria,NGA,SAFR,,Subsaharan Africa,AF,Africa,1,9.004614,7.270447,
ABW,49,,,Abau Airport,ABW,Abau,PG,,Papua New Guinea,PNG,OCEA,,Oceania,OC,Oceania,1,-10.183333,148.7,
ABX,50,YMAY,,Albury Airport,ABX,Albury,AU,AUNSW,Australia,AUS,OCEA,New South Wales,Oceania,OC,Oceania,1,-36.069625,146.954531,
ABY,51,KABY,,Southwest Georgia Regional Airport,ABY,Albany,US,US_GA,U.S.A.,USA,NAME,Georgia,North America,AM,America,1,31.532222,-84.196111,
ABZ,52,EGPD,,Aberdeen International Airport,ABZ,Aberdeen,GB,GBSCO,United Kingdom,GBR,NEUR,Scotland,Northern Europe,EU,Europe,1,57.200253,-2.204186,
ACA,53,MMAA,,Acapulco International Airport,ACA,Acapulco,MX,,Mexico,MEX,NAME,,North America,AM,America,1,16.762403,-99.754592,
ACB,54,KACB,,Antrim County Airport,ACB,Bellaire,US,US_MI,U.S.A.,USA,NAME,Michigan,North America,AM,America,1,44.983333,-85.216667,
