AIRLINEIATACODE,ID,AIRLINENAME,BIZMODEL,ACTIVESTATUS,GROUPNAME,HUBAIRPORTIATACODE,COUNTRYCODE,STARTDATE,ENDDATE,LOAD_TIME
0,1,Unknown,,1,,QZW,FR,01/01/2000,31/12/2199,
0A,2,Asta Linhas Aereas Ltda,Charter,1,,CGB,BR,01/01/2000,31/12/2199,
0B,3,Blue Air,Low Cost Carrier,1,,OTP,RO,13/12/2004,31/12/2199,
0C,4,Cobra Aviation (Pty) Ltd,Charter,1,,,ZA,01/01/2000,31/12/2199,
0J,5,Premium Jet Ag,Charter,1,,,CH,01/01/2000,31/12/2199,
0K,6,Kokshetau Airline,Charter,1,,KOV,KZ,01/01/2000,31/12/2199,
0V,7,Vietnam Air Service Company,Full Service Carrier,1,Vietnam Airlines Corporation,SGN,VN,01/01/2000,31/12/2199,
1I,8,Netjets Aviation, Inc.,Charter,1,,,US,01/01/2000,31/12/2199,
1T,9,Russian Sky,Charter,1,,DME,RU,01/01/2000,31/12/2199,
1X,10,Branson Air Express,Virtual Carrier,1,,BKG,US,01/01/2000,31/12/2199,
2A,11,Deutsche Bahn Ag,Other,1,,,DE,01/01/2000,31/12/2199,
2B,12,Albawings,Full Service Carrier,1,,TIA,AL,01/08/2016,31/12/2199,
2C,13,Sncf,Other,1,,,FR,01/01/2000,31/12/2199,
2D,14,Eastern Airlines,Full Service Carrier,1,,MIA,US,01/02/2015,31/12/2199,
2E,15,Smokey Bay Air,Regional/Commuter,1,,SOV,US,01/01/2000,31/12/2199,
2F,16,Two Taxi Aereo Ltda,Regional/Commuter,1,,,BR,01/01/2000,31/12/2199,
2G,17,Angara Airlines,Charter,1,,IKT,RU,01/01/2000,31/12/2199,
2H,18,Thalys International,Other,1,,,BE,01/01/2000,31/12/2199,
2I,19,Star Peru,Regional/Commuter,1,,LIM,PE,01/01/2000,31/12/2199,
2J,20,Air Burkina,Full Service Carrier,1,,OUA,BF,17/03/1967,31/12/2199,
2K,21,Avianca Ecuador,Full Service Carrier,1,Avianca Group International Limited,UIO,EC,01/01/2000,31/12/2199,
2L,22,Helvetic Airways,Full Service Carrier,1,,ZRH,CH,01/01/2000,31/12/2199,
2M,23,Maya Island Air,Regional/Commuter,1,,TZA,BZ,01/01/2000,31/12/2199,
2N,24,Yuzhmashavia,Charter,1,,DNK,UA,01/01/1985,31/12/2199,
2O,25,Island Air Service,Charter,1,,ADQ,US,01/01/2000,31/12/2199,
2P,26,Pal Express,Full Service Carrier,1,Pal Group,MNL,PH,01/01/2000,31/12/2199,
2T,27,Trujet,Low Cost Carrier,1,,HYD,IN,12/07/2015,31/12/2199,
2U,28,Sun D'Or International Airlines,Full Service Carrier,1,El Al Group,TLV,IL,01/01/2000,31/12/2199,
2V,29,Amtrak,Other,1,,,US,01/01/2000,31/12/2199,
2Z,30,Voepass,Regional/Commuter,1,,RAO,BR,01/01/2000,31/12/2199,
3A,31,Chu Kong Passenger Transport,Regional/Commuter,1,,HKG,HK,01/01/2000,31/12/2199,
3B,32,Transportes Interilhas De Cabo Verde (Ticv),Regional/Commuter,1,,RAI,CV,12/11/2016,31/12/2199,
