TERMINALCODE,ID,AIRPORTIATACODE,AIRPORTICAOCODE,AIRPORTNAME,CITYCODE,ACTIVESTATUS,AIRPORTLATITUDE,AIRPORTLONGITUDE,LOAD_TIME
AAA_00,1,AAA,NTGA,Anaa Airport,AAA,1,-17.355648,-145.50913,,
AAB_00,2,AAB,YARY,Arrabury Airport,AAB,1,-26.691196,141.047509,,
AAC_00,3,AAC,HEAR,El Arish International Airport,AAC,1,31.076415,33.832288,,
AAD_00,4,AAD,,Adado Airport,AAD,1,6.095833,46.6375,,
AAE_00,5,AAE,DABB,Rabah Bitat Airport,AAE,1,36.821392,7.811857,,
AAF_00,6,AAF,KAAF,Apalachicola Regional Airport,AAF,1,29.733333,-84.983333,,
AAG_00,7,AAG,,Arapoti Airport,AAG,1,-24.103611,-49.79,,
AAH_00,8,AAH,EDKA,Merzbruck Airport,AAH,1,50.823055,6.186389,,
AAI_00,9,AAI,SWRA,Arraias Airport,AAI,1,-12.916667,-46.933333,,
AAJ_00,10,AAJ,,Cayana Airstrip,AAJ,1,3.9,-55.366667,,
AAK_00,11,AAK,NGUK,Aranuka Airport,AAK,1,0.166667,173.583333,,
AAL_00,12,AAL,EKYT,Aalborg Airport,AAL,1,57.086551,9.872241,,
AAM_00,13,AAM,FAMD,Mala Mala Airport,AAM,1,-24.8,31.533333,,
AAN_00,14,AAN,OMAL,Al Ain Airport,AAN,1,24.260231,55.616626,,
AAO_00,15,AAO,SVAN,Anaco Airport,AAO,1,9.431944,-64.463889,,
AAP_00,16,AAP,,AP Tumenggung Pranoto Airport,SRI,1,-0.372898,117.250905,,
AAQ_00,17,AAQ,URKA,Anapa Airport,AAQ,1,45.001659,37.346599,,
AAR_00,18,AAR,EKAH,Aarhus Airport,AAR,1,56.30823,10.626351,,
AAS_00,19,AAS,,Apalapsili Airport,AAS,1,-3.916667,139.25,,
AAT_00,20,AAT,ZWAT,Altay Airport,AAT,1,47.750361,88.084444,,
AAU_00,21,AAU,,Asau Airport,AAU,1,-13.458333,-172.6,,
AAV_00,22,AAV,RPMA,Allah Valley Airport,AAV,1,6.367314,124.752781,,
AAW_00,23,AAW,,Aachen Bf West Bus St,AAW,1,50.7825,6.071666667,,
AAX_00,24,AAX,SBAX,Araxa Airport,AAX,1,-19.568056,-46.929167,,
AAY_00,25,AAY,OYGD,Al Ghaydah Airport,AAY,1,16.195959,52.173255,,
AAZ_00,26,AAZ,,Quetzaltenan Airport,AAZ,1,14.86388889,-91.52027778,,
ABA_00,27,ABA,UNAA,Abakan Airport,ABA,1,53.740002,91.385002,,
ABB_00,28,ABB,DNAS,Asaba International Airport,ABB,1,6.203055,6.667222,,
ABC_00,29,ABC,LEAB,Albacete Airport,ABC,1,38.948333,-1.863333,,
