KPI_KEY,KPI_ID,KPI_DES,LOAD_TIME
-3,*********,No Informado,2024-01-09T11:44:10Z
1,Numero,Número,2024-01-09T11:44:10Z
2,Plazas,Plazas,2024-01-09T11:44:10Z
3,CasasCentrales,Casas centrales,2024-01-09T11:44:10Z
4,Sucursales,Sucursales,2024-01-09T11:44:10Z
5,Sucursales_Dentro,Sucursales con sede en la Comunitat Valenciana,2024-01-09T11:44:10Z
6,Sucursales_Fuera,Sucursales con sede fuera de la Comunitat Valenciana,2024-01-09T11:44:10Z
7,Total,Total,2024-01-09T11:44:10Z
8,Acumulado en lo que va de año,Acumulado en lo que va de año,2024-01-22T23:37:37Z
9,Tasa de variación anual,Tasa de variación anual,2024-01-22T23:37:37Z
10,Tasa de variación acumulada,Tasa de variación acumulada,2024-01-22T23:37:37Z
11,Dato base,Dato base,2024-01-22T23:37:37Z
12,Viajeros,Viajeros,2024-02-28T12:49:10Z
13,Pernoctaciones,Pernoctaciones,2024-02-28T12:49:10Z
14,Estancia media,Estancia media,2024-04-08T12:53:14Z
15,Grado de ocupación por apartamentos en fin de semana,Grado de ocupación por apartamentos en fin de semana,2024-04-10T15:18:47Z
16,Número de parcelas,Número de parcelas,2024-04-10T15:18:47Z
17,Número de establecimientos abiertos estimados,Número de establecimientos abiertos estimados,2024-04-10T15:18:47Z
18,Grado de ocupación por plazas,Grado de ocupación por plazas,2024-04-10T15:18:47Z
19,Grado de ocupación de parcelas en fin de semana,Grado de ocupación de parcelas en fin de semana,2024-04-10T15:18:47Z
20,Número de habitaciones estimadas,Número de habitaciones estimadas,2024-04-10T15:18:47Z
21,Número de plazas estimadas,Número de plazas estimadas,2024-04-10T15:18:47Z
22,Grado de ocupación por habitaciones,Grado de ocupación por habitaciones,2024-04-10T15:18:47Z
23,Parcelas ocupadas,Parcelas ocupadas,2024-04-10T15:18:47Z
24,Grado de ocupación por parcelas,Grado de ocupación por parcelas,2024-04-10T15:18:47Z
25,Grado de ocupación por plazas en fin de semana,Grado de ocupación por plazas en fin de semana,2024-04-10T15:18:47Z
26,Personal empleado,Personal empleado,2024-04-10T15:18:47Z
27,Número de apartamentos estimados,Número de apartamentos estimados,2024-04-10T15:18:47Z
28,Grado de ocupación por apartamentos,Grado de ocupación por apartamentos,2024-04-10T15:18:47Z
29,Diario,Número de personas únicas por día,2024-04-17T14:26:00Z
30,Llegada,Número de personas que llegan por día,2024-04-17T14:26:00Z
31,Salida,Número de personas que salen por día,2024-04-17T14:26:00Z
32,Nocturno,Número de personas durante la noche,2024-04-17T14:26:00Z
