CITYCODE,ID,CITYNAME,COUNTRYCODE,REGIONCODE,COUNTRYNAME,ISO_CODE,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,LATITUDE_NUM,LONGITUDE_NUM,LANGUAGE_KEY,LOAD_TIME
AAA,1,Anaa,PF,,French Polynesia,PYF,OCEA,,Oceania,OC,Oceania,1,-17.35892,-145.5998,2,
AAB,2,Arrabury,AU,AUQLD,Australia,AUS,OCEA,Queensland,Oceania,OC,Oceania,1,-26.4746,141.0928048,2,
AAC,3,El Arish,EG,,Egypt,EGY,MIDE,,Middle East,AS,Asia,1,31.123641,33.7983521,2,
AAD,4,Adado,SO,,Somalia,SOM,SAFR,,Subsaharan Africa,AF,Africa,1,11.61944,50.77306,2,
AAE,5,Annaba,DZ,,Algeria,DZA,NAFR,,North Africa,AF,Africa,1,36.8982165,7.7549272,2,
AAF,6,Apalachicola,US,US_FL,U.S.A.,USA,NAME,Florida,North America,AM,America,1,29.72551,-84.98701,2,
AAG,7,Arapoti,BR,BR_PR,Brazil,BRA,SAME,Parana,South America,AM,America,1,-24.1457957,-49.8224605,2,
AAH,8,Aachen,DE,DENOR,Germany,DEU,WEUR,North Rhine Westphalia,Western Europe,EU,Europe,1,50.776351,6.083862,2,
AAI,9,Arraias,BR,BR_TO,Brazil,BRA,SAME,Tocantins,South America,AM,America,1,-12.9287788,-46.9437231,2,
AAJ,10,Awaradam,SR,,Suriname,SUR,SAME,,South America,AM,America,1,3.85002,-55.61627,2,
AAK,11,Aranuka,KI,,Kiribati,KIR,OCEA,,Oceania,OC,Oceania,1,0.22451795,173.6212548,2,
AAL,12,Aalborg,DK,,Denmark,DNK,NEUR,,Northern Europe,EU,Europe,1,57.0462626,9.9215263,2,
AAM,13,Mala Mala,ZA,,South Africa,ZAF,SAFR,,Subsaharan Africa,AF,Africa,1,-24.80056885,31.54025474,2,
AAN,14,Al Ain,AE,,United Arab Emirates,ARE,MIDE,,Middle East,AS,Asia,1,24.2248697,55.7452211,2,
AAO,15,Anaco,VE,,Venezuela,VEN,SAME,,South America,AM,America,1,9.432191,-64.466834,2,
SRI,16,Samarinda,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,-0.5017804,117.1393089,2,
AAQ,17,Anapa,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,44.894272,37.316887,2,
AAR,18,Aarhus,DK,,Denmark,DNK,NEUR,,Northern Europe,EU,Europe,1,56.1496278,10.2134046,2,
AAS,19,Apalapsili,ID,,Indonesia,IDN,SEAS,,South East Asia,AS,Asia,1,-3.8865624,139.3116832,2,
AAT,20,Altay,CN,CNXIN,China,CHN,NEAS,Xinjiang,North East Asia,AS,Asia,1,47.8257562,88.1291701,2,
AAU,21,Asau,WS,,Samoa,WSM,OCEA,,Oceania,OC,Oceania,1,-13.5191306,-172.637108,2,
AAV,22,Surallah,PH,,Philippines,PHL,SEAS,,South East Asia,AS,Asia,1,6.3756107,124.7472504,2,
AAW,23,Abbottabad,PK,,Pakistan,PAK,SASI,,South Asia,AS,Asia,1,34.1436136,73.2132747,2,
AAX,24,Araxa,BR,BR_MG,Brazil,BRA,SAME,Minas Gerais,South America,AM,America,1,-19.6009149,-46.940923,2,
AAY,25,Al Ghaydah,YE,,Yemen,YEM,MIDE,,Middle East,AS,Asia,1,16.2110173,52.1828352,2,
AAZ,26,Quetzaltenan,GT,,Guatemala,GTM,CAME,,Central America,AM,America,1,14.8404,-91.50023,2,
ABA,27,Abakan,RU,,Russia,RUS,EEUR,,Central/Eastern Europe,EU,Europe,1,53.72068,91.4406019,2,
ABB,28,Asaba,NG,,Nigeria,NGA,SAFR,,Subsaharan Africa,AF,Africa,1,6.1858825,6.7297071,2,
ABC,29,Albacete,ES,ESCAM,Spain,ESP,SEUR,Castile la Mancha,Southern Europe,EU,Europe,1,38.9976616,-1.8600675,2,
