PROVINCECODE,ID,COUNTRYCODE,PROVINCENAME,LOAD_TIME
AD-02,1,AD,"Canillo",
AD-03,2,AD,"Encamp",
AD-04,3,AD,"La Massana",
AD-05,4,AD,"Ordino",
AD-06,5,AD,"Sant Julia de Loria",
AD-07,6,AD,"Andorra la Vella",
AD-08,7,AD,"Escaldes-Engordany",
AE-AJ,8,AE,"'Ajman",
AE-AZ,9,AE,"Abu Zaby",
AE-DU,10,AE,"Dubayy",
AE-FU,11,AE,"Al Fujayrah",
AE-RK,12,AE,"Ra's al Khaymah",
AE-SH,13,AE,"Ash Shariqah",
AE-UQ,14,AE,"Umm al Qaywayn",
AF-BAL,15,AF,"Balkh",
AF-BAM,16,AF,"Bamyan",
AF-BDG,17,AF,"Badghis",
AF-BGL,18,AF,"Baghlan",
AF-DAY,19,AF,"Daykundi",
AF-FRA,20,AF,"Farah",
AF-FYB,21,AF,"Faryab",
AF-GHA,22,AF,"Ghazni",
AF-GHO,23,AF,"Ghor",
AF-HEL,24,AF,"Helmand",
AF-HER,25,AF,"Herat",
AF-JOW,26,AF,"Jowzjan",
AF-KAB,27,AF,"Kabul",
AF-KAN,28,AF,"Kandahar",
AF-KDZ,29,AF,"Kunduz",
AF-KHO,30,AF,"Khost",
AF-LAG,31,AF,"Laghman",
AF-LOG,32,AF,"Logar",
AF-NAN,33,AF,"Nangarhar",
AF-NIM,34,AF,"Nimroz",
AF-PAR,35,AF,"Parwan",
AF-PIA,36,AF,"Paktiya",
AF-PKA,37,AF,"Paktika",
AF-SAM,38,AF,"Samangan",
AF-SAR,39,AF,"Sar-e Pul",
AF-TAK,40,AF,"Takhar",
AF-URU,41,AF,"Uruzgan",
AG-03,42,AG,"Saint George",
AG-04,43,AG,"Saint John",
AG-05,44,AG,"Saint Mary",
AG-07,45,AG,"Saint Peter",
AG-08,46,AG,"Saint Philip",
AG-10,47,AG,"Barbuda",
AL-01,48,AL,"Berat",
AL-02,49,AL,"Durres",
AL-03,50,AL,"Elbasan",
AL-04,51,AL,"Fier",
AL-05,52,AL,"Gjirokaster",
AL-06,53,AL,"Korce",
AL-07,54,AL,"Kukes",
AL-08,55,AL,"Lezhe",
AL-09,56,AL,"Diber",
AL-10,57,AL,"Shkoder",
AL-11,58,AL,"Tirane",
AL-12,59,AL,"Vlore",
AM-AG,60,AM,"Aragacotn",
AM-AR,61,AM,"Ararat",
AM-AV,62,AM,"Armavir",
AM-ER,63,AM,"Erevan",
AM-GR,64,AM,"Gegark'unik'",
AM-KT,65,AM,"Kotayk'",
AM-LO,66,AM,"Lori",
AM-SH,67,AM,"Sirak",
AM-SU,68,AM,"Syunik'",
AM-TV,69,AM,"Tavus",
AM-VD,70,AM,"Vayoc Jor",
AO-BGO,71,AO,"Bengo",
AO-BGU,72,AO,"Benguela",
AO-BIE,73,AO,"Bie",
AO-CAB,74,AO,"Cabinda",
AO-CCU,75,AO,"Cuando Cubango",
AO-CNN,76,AO,"Cunene",
AO-CNO,77,AO,"Cuanza-Norte",
AO-CUS,78,AO,"Cuanza-Sul",
AO-HUA,79,AO,"Huambo",
AO-HUI,80,AO,"Huila",
AO-LNO,81,AO,"Lunda-Norte",
AO-LSU,82,AO,"Lunda-Sul",
AO-LUA,83,AO,"Luanda",
AO-MAL,84,AO,"Malange",
AO-MOX,85,AO,"Moxico",
AO-NAM,86,AO,"Namibe",
AO-UIG,87,AO,"Uige",
AO-ZAI,88,AO,"Zaire",
AR-A,89,AR,"Salta",
AR-B,90,AR,"Buenos Aires",
AR-C,91,AR,"Ciudad Autonoma de Buenos Aires",
AR-D,92,AR,"San Luis",
AR-E,93,AR,"Entre Rios",
AR-F,94,AR,"La Rioja",
AR-G,95,AR,"Santiago del Estero",
AR-H,96,AR,"Chaco",
AR-J,97,AR,"San Juan",
AR-K,98,AR,"Catamarca",
AR-L,99,AR,"La Pampa",
AR-M,100,AR,"Mendoza",
AR-N,101,AR,"Misiones",
AR-P,102,AR,"Formosa",
AR-Q,103,AR,"Neuquen",
AR-R,104,AR,"Rio Negro",
AR-S,105,AR,"Santa Fe",
AR-T,106,AR,"Tucuman",
AR-U,107,AR,"Chubut",
AR-V,108,AR,"Tierra del Fuego",
AR-W,109,AR,"Corrientes",
AR-X,110,AR,"Cordoba",
AR-Y,111,AR,"Jujuy",
AR-Z,112,AR,"Santa Cruz",
AT-1,113,AT,"Burgenland",
AT-2,114,AT,"Karnten",
AT-3,115,AT,"Niederosterreich",
AT-4,116,AT,"Oberosterreich",
AT-5,117,AT,"Salzburg",
AT-6,118,AT,"Steiermark",
AT-7,119,AT,"Tirol",
AT-8,120,AT,"Vorarlberg",
AT-9,121,AT,"Wien",
AU-ACT,122,AU,"Australian Capital Territory",
AU-NSW,123,AU,"New South Wales",
AU-NT,124,AU,"Northern Territory",
AU-QLD,125,AU,"Queensland",
AU-SA,126,AU,"South Australia",
AU-TAS,127,AU,"Tasmania",
AU-VIC,128,AU,"Victoria",
AU-WA,129,AU,"Western Australia",
AZ-ABS,130,AZ,"Abseron",
AZ-AGA,131,AZ,"Agstafa",
AZ-AGC,132,AZ,"Agcabadi",
AZ-AGS,133,AZ,"Agdas",
AZ-AGU,134,AZ,"Agsu",
