FAMILIA,TABLA,COD,COMUNIDADES_Y_CIUDADES_AUTONOMAS,CONCEPTO_TURISTICO,PROVINCIAS,PUNTOS_TURISTICOS,RESIDENCIA_ORIGEN,TIPO_DE_CATEGORIA,TIPO_DE_DATO,TIPO_DE_ESTABLECIMIENTO,TOTALES_TERRITORIALES,TOTAL_NACIONAL,ZONAS_TURISTICAS
EOH,2066,EOT59,,Grado de ocupación por habitaciones,,,,Total categorías,Dato,,Total Nacional,,
EOH,2066,EOT24520,Andalucía,Número de habitaciones estimadas,,,,Total categorías,Dato,,,,
EOH,2066,EOT77,,Grado de ocupación por habitaciones,Cádiz,,,Total categorías,Dato,,,,
EOH,2066,EOT78,,Personal empleado,Cádiz,,,Total categorías,Dato,,,,
EOH,2066,EOT24499,,Número de habitaciones estimadas,Córdoba,,,Total categorías,Dato,,,,
EOH,2066,EOT81,,Grado de ocupación por plazas,Córdoba,,,Total categorías,Dato,,,,
EOH,2066,EOT84,,Personal empleado,Córdoba,,,Total categorías,Dato,,,,
EOH,2066,EOT88,,Grado de ocupación por plazas en fin de semana,Granada,,,Total categorías,Dato,,,,
EOH,2066,EOT109,,Número de establecimientos abiertos estimados,Sevilla,,,Total categorías,Dato,,,,
EOH,2066,EOT24494,,Número de habitaciones estimadas,Sevilla,,,Total categorías,Dato,,,,
EOH,2066,EOT111,,Grado de ocupación por plazas,Sevilla,,,Total categorías,Dato,,,,
EOH,2066,EOT158,,Número de plazas estimadas,"Palmas, Las",,,Total categorías,Dato,,,,
EOH,2066,EOT165,,Grado de ocupación por plazas,Santa Cruz de Tenerife,,,Total categorías,Dato,,,,
EOH,2066,EOT252,,Personal empleado,Ciudad Real,,,Total categorías,Dato,,,,
EOH,2066,EOT24500,,Número de habitaciones estimadas,Cádiz,,,Total categorías,Dato,,,,
EOH,2066,EOT89,,Grado de ocupación por habitaciones,Granada,,,Total categorías,Dato,,,,
EOH,2066,EOT90,,Personal empleado,Granada,,,Total categorías,Dato,,,,
EOH,2066,EOT24495,,Número de habitaciones estimadas,Málaga,,,Total categorías,Dato,,,,
EOH,2066,EOT108,,Personal empleado,Málaga,,,Total categorías,Dato,,,,
EOH,2066,EOT113,,Grado de ocupación por habitaciones,Sevilla,,,Total categorías,Dato,,,,
EOH,2066,EOT118,Aragón,Grado de ocupación por plazas en fin de semana,,,,Total categorías,Dato,,,,
EOH,2066,EOT137,,Grado de ocupación por habitaciones,Zaragoza,,,Total categorías,Dato,,,,
EOH,2066,EOT138,,Personal empleado,Zaragoza,,,Total categorías,Dato,,,,
EOH,2066,EOT139,"Asturias, Principado de",Número de establecimientos abiertos estimados,,,,Total categorías,Dato,,,,
EOH,2066,EOT148,"Balears, Illes",Grado de ocupación por plazas en fin de semana,,,,Total categorías,Dato,,,,
EOH,2066,EOT24516,Canarias,Número de habitaciones estimadas,,,,Total categorías,Dato,,,,
EOH,2066,EOT24490,,Número de habitaciones estimadas,"Palmas, Las",,,Total categorías,Dato,,,,
EOH,2066,EOT162,,Personal empleado,"Palmas, Las",,,Total categorías,Dato,,,,
EOH,2066,EOT163,,Número de establecimientos abiertos estimados,Santa Cruz de Tenerife,,,Total categorías,Dato,,,,
EOH,2066,EOT176,Castilla y León,Número de plazas estimadas,,,,Total categorías,Dato,,,,
EOH,2066,EOT24481,,Número de habitaciones estimadas,Valladolid,,,Total categorías,Dato,,,,
