FAMILIA,TABLA,COD,COMUNIDADES_Y_CIUDADES_AUTONOMAS,CONCEPTO_TURISTICO,PROVINCIAS,PUNTOS_TURISTICOS,RESIDENCIA_ORIGEN,TIPO_DE_CATEGORIA,TIPO_DE_DATO,TIPO_DE_ESTABLECIMIENTO,TOTALES_TERRITORIALES,TOTAL_NACIONAL,ZONAS_TURISTICAS
EOH,2074,EOT9,,Viajero,,,Residentes en España,Total categorías,Dato,,Total Nacional,,
EOH,2074,EOT17,,Viajero,,,Residentes en el Extranjero,Total categorías,Dato,,Total Nacional,,
EOH,2074,EOT33,,Pernoctaciones,,,Residentes en España,Total categorías,Dato,,Total Nacional,,
EOH,2074,EOT1454,Andalucía,Pernoctaciones,,,Total ,Total categorías,Dato,,,,
EOH,2074,EOT1459,,Viajero,Almería,,Residentes en el Extranjero,Total categorías,Dato,,,,
EOH,2074,EOT1460,,Pernoctaciones,Almería,,Total ,Total categorías,Dato,,,,
EOH,2074,EOT1470,,Viajero,Córdoba,,Residentes en España,Total categorías,Dato,,,,
EOH,2074,EOT1473,,Pernoctaciones,Córdoba,,Residentes en España,Total categorías,Dato,,,,
EOH,2074,EOT1495,,Viajero,Málaga,,Residentes en el Extranjero,Total categorías,Dato,,,,
EOH,2074,EOT1504,,Pernoctaciones,Sevilla,,Residentes en el Extranjero,Total categorías,Dato,,,,
EOH,2074,EOT1511,,Viajero,Huesca,,Total ,Total categorías,Dato,,,,
EOH,2074,EOT22198,,Pernoctaciones,Asturias,,Residentes en el Extranjero,Total categorías,Dato,,,,
EOH,2074,EOT1549,,Viajero,"Palmas, Las",,Residentes en el Extranjero,Total categorías,Dato,,,,
EOH,2074,EOT1659,,Pernoctaciones,Toledo,,Residentes en España,Total categorías,Dato,,,,
EOH,2074,EOT1678,,Pernoctaciones,Girona,,Residentes en el Extranjero,Total categorías,Dato,,,,
EOH,2074,EOT1461,,Pernoctaciones,Almería,,Residentes en España,Total categorías,Dato,,,,
EOH,2074,EOT1478,,Pernoctaciones,Granada,,Total ,Total categorías,Dato,,,,
EOH,2074,EOT1479,,Pernoctaciones,Granada,,Residentes en España,Total categorías,Dato,,,,
EOH,2074,EOT1499,,Viajero,Sevilla,,Total ,Total categorías,Dato,,,,
EOH,2074,EOT1514,,Pernoctaciones,Huesca,,Total ,Total categorías,Dato,,,,
EOH,2074,EOT1518,,Viajero,Teruel,,Residentes en España,Total categorías,Dato,,,,
EOH,2074,EOT1529,"Asturias, Principado de",Viajero,,,Total ,Total categorías,Dato,,,,
EOH,2074,EOT22203,,Viajero,Asturias,,Total ,Total categorías,Dato,,,,
EOH,2074,EOT1542,Canarias,Viajero,,,Residentes en España,Total categorías,Dato,,,,
EOH,2074,EOT1545,Canarias,Pernoctaciones,,,Residentes en España,Total categorías,Dato,,,,
