ID,NOMBRE,LOAD_TIME
**********,No informado,
8995,Melilla,
8997,Andalucía,
8998,Aragón,
8999,"Asturias, Principado de",
9000,"Balears, Illes",
9001,Canarias,
9002,Cantabria,
9003,Castilla y León,
9004,Castilla - La Mancha,
9005,Cataluña,
9006,Comunitat Valenciana,
9007,Extremadura,
9008,Galicia,
9009,"Madrid, Comunidad de",
9010,"Murcia, Región de",
9011,"Navarra, Comunidad Foral de",
9012,País Vasco,
9013,"Rioja, La",
9014,Ceuta y Melilla,
9015,Ceuta,
9946,UE28 sin España,
9947,África,
9948,América (sin EEUU),
9960,México,
9961,Canadá,
9962,Venezuela,
9963,Asia (sin Japón),
9964,Nueva Zelanda,
9965,América,
9966,Asia,
9975,Total,
9978,Alemania,
9979,Austria,
9980,Bélgica,
9981,Dinamarca,
9982,Finlandia,
9983,Francia,
9984,Grecia,
9985,Países Bajos,
9986,Irlanda,
9987,Italia,
9988,Luxemburgo,
9989,Portugal,
9990,Reino Unido,
9991,Suecia,
9993,Hungría,
9994,Islandia,
9995,Noruega,
9996,Polonia,
9997,República Checa,
9998,Suiza,
9999,Turquía,
10000,Rusia,
10001,Otros Países Europeos,
10003,Argentina,
10004,Brasil,
10005,Estados Unidos de América,
10006,Resto América,
10007,Japón,
10008,Australia,
10009,Otros Países,
10010,Resto UE,
10011,Resto del Mundo,
16420,Total,
16432,Europa menos UE28,
16473,Total Nacional,
19964,Residentes en España,
19965,Residentes en el Extranjero,
23259,Rumanía,
23265,República Eslovaca,
23272,Andorra,
23312,Marruecos,
23364,Colombia,
23365,Chile,
23374,Arabia Saudí,
23378,China,
23379,Emiratos Árabes Unidos,
23380,Filipinas,
23381,India,
23385,Israel,
23399,Corea,
292757,Taiwán,
298012,Países Nórdicos,
370030,Asia (sin Japón ni China),
370095,UE27_2020 sin España,
382495,Resto de América,
382515,Resto del mundo,
