RAW_COUNTRY_DES,ORIGIN_DATA_ID,COUNTRY_DES,COUNTRY_ID,LOAD_TIME
Acumulado,ST_FLX_SALIDA_NACIONALIDAD,Todos los Paises,Total,2024-07-02 08:39:28.858 +0200
Afganistán,AX_INE_EXP_TOURISM_ALL_TODAY,Afganistán,004,2025-01-09 10:43:39.933 +0100
Afghanistan,ST_TRA_VISITORS_ORIGIN,Afghanistan,004,2024-03-05 07:43:34.231 +0100
África del Norte,AX_FLX_BY_COUNTRY_MONTH_ALL_TODAY,África del Norte,99992,2024-07-01 16:00:06.390 +0200
África del Sur,ST_FLX_SALIDA_NACIONALIDAD,Sudáfrica,710,2024-07-02 08:50:18.274 +0200
Åland Islands,ST_TRA_VISITORS_ORIGIN,Åland Islands,248,2024-03-05 07:43:34.231 +0100
Albania,ST_TRA_VISITORS_ORIGIN,Albania,008,2024-03-05 07:43:34.231 +0100
Alemania,ST_FLX_SALIDA_NACIONALIDAD,Alemania,276,2024-03-05 07:44:05.186 +0100
Algeria,ST_TRA_VISITORS_ORIGIN,Algeria,012,2024-03-05 07:43:34.231 +0100
América del Norte,AX_INE_EXP_TOURISM_ALL_TODAY,América del Norte,99986,2025-01-09 10:10:29.196 +0100
Andorra,ST_TRA_VISITORS_ORIGIN,Andorra,020,2024-03-05 07:43:34.231 +0100
Angola,ST_TRA_VISITORS_ORIGIN,Angola,024,2024-03-05 07:43:34.231 +0100
Antarctica,ST_TRA_VISITORS_ORIGIN,Antarctica,010,2024-03-05 07:43:34.231 +0100
Antigua and Barbuda,ST_TRA_VISITORS_ORIGIN,Antigua and Barbuda,028,2024-03-05 07:43:34.231 +0100
Antigua y Barbuda,AX_INE_EXP_TOURISM_ALL_TODAY,Antigua y Barbuda,028,2025-01-09 10:43:39.933 +0100
Arabia Saudí,AX_INE_EXP_TOURISM_ALL_TODAY,Arabia Saudita,682,2025-01-09 10:10:29.196 +0100
Arabia Saudita,ST_FLX_SALIDA_NACIONALIDAD,Arabia Saudita,682,2024-03-05 07:44:05.186 +0100
Argelia,ST_FLX_SALIDA_NACIONALIDAD,Argelia,012,2024-03-05 07:44:05.186 +0100
Argentina,ST_TRA_VISITORS_ORIGIN,Argentina,032,2024-03-05 07:43:34.231 +0100
Armenia,ST_TRA_VISITORS_ORIGIN,Armenia,051,2024-03-05 07:43:34.231 +0100
Aruba,ST_TRA_VISITORS_ORIGIN,Aruba,533,2024-03-05 07:43:34.231 +0100
Australia,ST_TRA_VISITORS_ORIGIN,Australia,036,2024-03-05 07:43:34.231 +0100
Austria,ST_TRA_VISITORS_ORIGIN,Austria,040,2024-03-05 07:43:34.231 +0100
Azerbaijan,ST_TRA_VISITORS_ORIGIN,Azerbaijan,031,2024-03-05 07:43:34.231 +0100
