FAMILIA,TABLA,COD,COMUNIDADES_Y_CIUDADES_AUTONOMAS,CONCEPTO_TURISTICO,CONTINENTES,PAISES,PROVINCIAS,RESIDENCIA_ORIGEN,TIPO_DE_DATO,TOTAL_NACIONAL,ZONAS_GEOGRAFICAS_DEL_RESTO_DEL_MUNDO
INEXTREC,52046,TMOV4851,Aragón,Turistas,Europa,,,,Dato base,,
INEXTREC,52046,TMOV4848,Canarias,Turistas,Europa,,,,Dato base,,
INEXTREC,52046,TMOV4844,Cataluña,Turistas,Europa,,,,Dato base,,
INEXTREC,52046,TMOV4843,Comunitat Valenciana,Turistas,Europa,,,,Dato base,,
INEXTREC,52046,TMOV4836,"Rioja, La",Turistas,Europa,,,,Dato base,,
INEXTREC,52046,TMOV4750,"Asturias, Principado de",Turistas,,Albania,,,Dato base,,
INEXTREC,52046,TMOV4745,Castilla - La Mancha,Turistas,,Albania,,,Dato base,,
INEXTREC,52046,TMOV4736,"Rioja, La",Turistas,,Albania,,,Dato base,,
INEXTREC,52046,TMOV4725,Castilla - La Mancha,Turistas,,Alemania,,,Dato base,,
INEXTREC,52046,TMOV204,,Turistas,,Alemania,,,Dato base,Total Nacional,
INEXTREC,52046,TMOV4710,"Asturias, Principado de",Turistas,,Andorra,,,Dato base,,
INEXTREC,52046,TMOV4692,Andalucía,Turistas,,Armenia,,,Dato base,,
INEXTREC,52046,TMOV4680,"Madrid, Comunidad de",Turistas,,Armenia,,,Dato base,,
INEXTREC,52046,TMOV4666,Castilla y León,Turistas,,Austria,,,Dato base,,
INEXTREC,52046,TMOV4641,Galicia,Turistas,,Belarús,,,Dato base,,
INEXTREC,52046,TMOV4639,"Murcia, Región de",Turistas,,Belarús,,,Dato base,,
INEXTREC,52046,TMOV4631,Aragón,Turistas,,Bélgica,,,Dato base,,
INEXTREC,52046,TMOV4599,"Murcia, Región de",Turistas,,Bosnia y Herzegovina,,,Dato base,,
INEXTREC,52046,TMOV4840,"Madrid, Comunidad de",Turistas,Europa,,,,Dato base,,
INEXTREC,52046,TMOV4746,Castilla y León,Turistas,,Albania,,,Dato base,,
INEXTREC,52046,TMOV4740,"Madrid, Comunidad de",Turistas,,Albania,,,Dato base,,
INEXTREC,52046,TMOV4702,Extremadura,Turistas,,Andorra,,,Dato base,,
INEXTREC,52046,TMOV4700,"Madrid, Comunidad de",Turistas,,Andorra,,,Dato base,,
INEXTREC,52046,TMOV4695,Ceuta,Turistas,,Andorra,,,Dato base,,
INEXTREC,52046,TMOV4677,País Vasco,Turistas,,Armenia,,,Dato base,,
INEXTREC,52046,TMOV202,,Turistas,,Armenia,,,Dato base,Total Nacional,
INEXTREC,52046,TMOV4658,"Navarra, Comunidad Foral de",Turistas,,Austria,,,Dato base,,
INEXTREC,52046,TMOV4657,País Vasco,Turistas,,Austria,,,Dato base,,
INEXTREC,52046,TMOV4654,Melilla,Turistas,,Austria,,,Dato base,,
INEXTREC,52046,TMOV4619,"Murcia, Región de",Turistas,,Bélgica,,,Dato base,,
INEXTREC,52046,TMOV4606,Castilla y León,Turistas,,Bosnia y Herzegovina,,,Dato base,,
INEXTREC,52046,TMOV4585,Castilla - La Mancha,Turistas,,Bulgaria,,,Dato base,,
INEXTREC,52046,TMOV4516,"Rioja, La",Turistas,,Dinamarca,,,Dato base,,
INEXTREC,52046,TMOV4461,Galicia,Turistas,,Francia,,,Dato base,,
INEXTREC,52046,TMOV4329,"Balears, Illes",Turistas,,Islandia,,,Dato base,,
INEXTREC,52046,TMOV201,,Turistas,,Austria,,,Dato base,Total Nacional,
INEXTREC,52046,TMOV4629,"Balears, Illes",Turistas,,Bélgica,,,Dato base,,
INEXTREC,52046,TMOV199,,Turistas,,Bélgica,,,Dato base,Total Nacional,
INEXTREC,52046,TMOV4609,"Balears, Illes",Turistas,,Bosnia y Herzegovina,,,Dato base,,
INEXTREC,52046,TMOV4600,"Madrid, Comunidad de",Turistas,,Bosnia y Herzegovina,,,Dato base,,
INEXTREC,52046,TMOV4565,Castilla - La Mancha,Turistas,,Chipre,,,Dato base,,
INEXTREC,52046,TMOV4530,"Asturias, Principado de",Turistas,,Dinamarca,,,Dato base,,
INEXTREC,52046,TMOV4526,Castilla y León,Turistas,,Dinamarca,,,Dato base,,
INEXTREC,52046,TMOV4523,Comunitat Valenciana,Turistas,,Dinamarca,,,Dato base,,
INEXTREC,52046,TMOV4502,Extremadura,Turistas,,Eslovenia,,,Dato base,,
INEXTREC,52046,TMOV4443,Comunitat Valenciana,Turistas,,Finlandia,,,Dato base,,
INEXTREC,52046,TMOV4394,Melilla,Turistas,,Gibraltar,,,Dato base,,
INEXTREC,52046,TMOV4320,"Madrid, Comunidad de",Turistas,,Islandia,,,Dato base,,
INEXTREC,52046,TMOV4294,Melilla,Turistas,,Italia,,,Dato base,,
INEXTREC,52046,TMOV4288,Canarias,Turistas,,Letonia,,,Dato base,,
INEXTREC,52046,TMOV4250,"Asturias, Principado de",Turistas,,Lituania,,,Dato base,,
INEXTREC,52046,TMOV4226,Castilla y León,Turistas,,Luxemburgo,,,Dato base,,
INEXTREC,52046,TMOV4191,Aragón,Turistas,,Malta,,,Dato base,,
INEXTREC,52046,TMOV4175,Ceuta,Turistas,,Malta,,,Dato base,,
INEXTREC,52046,TMOV4077,País Vasco,Turistas,,Países Bajos,,,Dato base,,
INEXTREC,52046,TMOV4536,"Rioja, La",Turistas,,Croacia,,,Dato base,,
INEXTREC,52046,TMOV4345,Castilla - La Mancha,Turistas,,Irlanda,,,Dato base,,
INEXTREC,52046,TMOV4337,País Vasco,Turistas,,Irlanda,,,Dato base,,
INEXTREC,52046,TMOV4521,Galicia,Turistas,,Dinamarca,,,Dato base,,
INEXTREC,52046,TMOV4061,Galicia,Turistas,,Polonia,,,Dato base,,
INEXTREC,52046,TMOV3855,Ceuta,Turistas,,Suecia,,,Dato base,,
INEXTREC,52046,TMOV3720,"Madrid, Comunidad de",Turistas,,Benin,,,Dato base,,
INEXTREC,52046,TMOV3530,"Asturias, Principado de",Turistas,,Djibouti,,,Dato base,,
INEXTREC,52046,TMOV3378,"Navarra, Comunidad Foral de",Turistas,,Guinea,,,Dato base,,
INEXTREC,52046,TMOV4638,"Navarra, Comunidad Foral de",Turistas,,Belarús,,,Dato base,,
INEXTREC,52046,TMOV4719,"Murcia, Región de",Turistas,,Alemania,,,Dato base,,
INEXTREC,52046,TMOV4701,Galicia,Turistas,,Andorra,,,Dato base,,
INEXTREC,52046,TMOV4681,Galicia,Turistas,,Armenia,,,Dato base,,
INEXTREC,52046,TMOV4660,"Madrid, Comunidad de",Turistas,,Austria,,,Dato base,,
INEXTREC,52046,TMOV4637,País Vasco,Turistas,,Belarús,,,Dato base,,
INEXTREC,52046,TMOV4605,Castilla - La Mancha,Turistas,,Bosnia y Herzegovina,,,Dato base,,
INEXTREC,52046,TMOV4584,Cataluña,Turistas,,Bulgaria,,,Dato base,,
INEXTREC,52046,TMOV4576,"Rioja, La",Turistas,,Bulgaria,,,Dato base,,
INEXTREC,52046,TMOV4544,Cataluña,Turistas,,Croacia,,,Dato base,,
INEXTREC,52046,TMOV4447,Cantabria,Turistas,,Finlandia,,,Dato base,,
INEXTREC,52046,TMOV4100,"Madrid, Comunidad de",Turistas,,Noruega,,,Dato base,,
INEXTREC,52046,TMOV4616,"Rioja, La",Turistas,,Bélgica,,,Dato base,,
INEXTREC,52046,TMOV4602,Extremadura,Turistas,,Bosnia y Herzegovina,,,Dato base,,
INEXTREC,52046,TMOV4582,Extremadura,Turistas,,Bulgaria,,,Dato base,,
INEXTREC,52046,TMOV4572,Andalucía,Turistas,,Chipre,,,Dato base,,
INEXTREC,52046,TMOV4542,Extremadura,Turistas,,Croacia,,,Dato base,,
INEXTREC,52046,TMOV4527,Cantabria,Turistas,,Dinamarca,,,Dato base,,
