"FAMILIA","Id","Nombre","Codigo","FK_Periodicidad","FK_Publicacion","FK_Periodo_ini","Anyo_Periodo_ini","FechaRef_fin","Ultima_Modificacion"
"EOH",2009,"Viajeros y pernoctaciones por categorías","NAC",1,1,1,"1999","null",1737705600000
"EOH",2941,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOH",3149,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOH",3152,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOH",36570,"Coyuntura turística hotelera: pernoctaciones en establecimientos hoteleros","NAC-CCAA-PROV",1,1,1,"2019","null",1737705600000
"EOH",49366,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOH",49370,"Viajeros y pernoctaciones por puntos turísticos","MUN",1,1,1,"2017","null",1737705600000
"EOH",61766,"Viajeros y pernoctaciones por comunidades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOH",2044,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOH",2074,"Viajeros y pernoctaciones por comunidades autónomas y provincias","NAC-CCAA-PROV",1,1,1,"1999","null",1737705600000
"EOH",2940,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas.","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOH",3150,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOH",3153,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOH",49368,"Estancia media, por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOH",49371,"Viajeros y pernoctaciones por comunidades, ciudades autónomas y provincias","NAC-CCAA-PROV",1,1,1,"2017","null",1737705600000
"EOH",61767,"Estancia media por comunidades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOH",67190,"Viajeros y pernoctaciones por comunidades autónomas y provincias","NAC-CCAA-PROV",1,1,1,"1999","null",1737705600000
"EOH",2024,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOH",3151,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOH",3154,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidadesy ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOH",49369,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOH",49372,"Establecimientos, plazas estimadas, grados de ocupación y personal empleado por puntos turísticos","MUN",1,1,1,"2017","null",1737705600000
"EOH",61768,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOH",2025,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidadesy ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOH",2942,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOH",2039,"Viajeros y pernoctaciones por zonas turísticas","NAC",1,1,1,"1999","null",1737705600000
"EOH",2078,"Viajeros y pernoctaciones por puntos turísticos","MUN",1,1,1,"2005","null",1737705600000
