FILE_OUTPUT,FILE_TMP,URL0
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:5,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:5
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:12,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:12
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:15,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:15
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:19,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:19
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:22,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:22
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:24,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:24
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:30,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:30
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:41,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:41
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:23,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:23
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:44,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:44
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:50,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:50
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:33,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:33
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:8,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:8
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:35,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:35
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:38,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:38
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:39,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:39
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:6,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:6
{dep}_53000_INEEXTINT,{dep}_53000_INEEXTINT_115:10,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/53000?nult={dep}&tv=115:10
