DATAFLOW,LAST UPDATE,freq,indic_to,c_resid,unit,cities,TIME_PERIOD,OBS_VALUE
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES001C,2018,716270
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES001C,2019,745709
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES001C,2020,430745
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES001C,2021,582377
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES001C,2022,762425
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES001C,2023,1006458
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES002C,2018,300889
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES002C,2019,281074
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES002C,2020,235534
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES002C,2021,278181
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES002C,2022,286798
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES002C,2023,340948
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES003C,2018,272653
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES003C,2019,300855
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES003C,2020,198629
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES003C,2021,240843
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES003C,2022,290558
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES003C,2023,352124
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES004C,2018,279692
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES004C,2019,339822
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES004C,2020,172657
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,DOM,NR,ES004C,2021,274326
