ZIPCODE_KEY,ZIPCODE_ID,CITY_DES,PROVINCE_ID,PROVINCE_DES,CITY_ID
1,01001,Vitoria-Gasteiz,1,Araba,01059
2,01002,Vitoria-Gasteiz,1,Araba,01059
3,01003,Vitoria-Gasteiz,1,Araba,01059
4,01004,Vitoria-Gasteiz,1,Araba,01059
5,01005,Vitoria-Gasteiz,1,Araba,01059
6,01006,Vitoria-Gasteiz,1,Araba,01059
7,01007,Vitoria-Gasteiz,1,Araba,01059
8,01008,Vitoria-Gasteiz,1,Araba,01059
9,01009,Vitoria-Gasteiz,1,Araba,01059
10,01010,Vitoria-Gasteiz,1,Araba,01059
11,01012,"Labastida/Bastida, Vitoria-Gasteiz",1,Araba,01059
12,01013,Vitoria-Gasteiz,1,Araba,01059
13,01015,Vitoria-Gasteiz,1,Araba,01059
14,01110,Campezo/Kanpezu,1,Araba,01017
15,01117,"Campezo/Kanpezu, Harana/Valle de Arana",1,Araba,01017
16,01118,"Bernedo, Lagrán, Condado de Treviño",1,Araba,01016
17,01120,Arraia-Maeztu,1,Araba,01037
18,01128,"Bernedo, Campezo/Kanpezu, Arraia-Maeztu",1,Araba,01016
19,01129,Arraia-Maeztu,1,Araba,01037
20,01130,Zuia,1,Araba,01063
21,01138,Zigoitia,1,Araba,01018
22,01139,Zuia,1,Araba,01063
23,01160,Aramaio,1,Araba,01003
24,01165,Aramaio,1,Araba,01003
25,01169,Aramaio,1,Araba,01003
26,01170,Legutio,1,Araba,01058
27,01171,Legutio,1,Araba,01058
28,01191,"Vitoria-Gasteiz, Iruña Oka/Iruña de Oca",1,Araba,01059
29,01192,"Elburgo/Burgelu, Vitoria-Gasteiz",1,Araba,01021
30,01193,"Alegría-Dulantzi, Elburgo/Burgelu, Iruraiz-Gauna, Vitoria-Gasteiz",1,Araba,01001
31,01194,"Bernedo, Vitoria-Gasteiz",1,Araba,01016
32,01195,"Vitoria-Gasteiz, Iruña Oka/Iruña de Oca",1,Araba,01059
33,01196,"Zigoitia, Vitoria-Gasteiz",1,Araba,01018
34,01200,Salvatierra/Agurain,1,Araba,01051
35,01206,"Barrundia, Iruraiz-Gauna",1,Araba,01013
36,01207,"Iruraiz-Gauna, Salvatierra/Agurain, San Millán/Donemiliaga",1,Araba,01027
37,01208,"Asparrena, Barrundia, San Millán/Donemiliaga, Zalduondo",1,Araba,01009
38,01211,"Armiñón, Berantevilla, Lagrán, Peñacerrada-Urizaharra, Condado de Treviño",1,Araba,01006
39,01212,"Berantevilla, Labastida/Bastida, Peñacerrada-Urizaharra, Zambrana",1,Araba,01014
40,01213,"Erriberagoitia/Ribera Alta, Ribera Baja/Erribera Beitia, Lantarón",1,Araba,01046
41,01216,"Bernedo, Peñacerrada-Urizaharra",1,Araba,01016
42,01220,"Armiñón, Berantevilla, Erriberagoitia/Ribera Alta, Ribera Baja/Erribera Beitia",1,Araba,01006
43,01230,Iruña Oka/Iruña de Oca,1,Araba,01901
44,01240,Alegría-Dulantzi,1,Araba,01001
45,01250,Asparrena,1,Araba,01009
46,01260,Asparrena,1,Araba,01009
47,01300,Laguardia,1,Araba,01031
48,01306,Lapuebla de Labarca,1,Araba,01033
49,01307,"Baños de Ebro/Mañueta, Samaniego, Villabuena de Álava/Eskuernaga",1,Araba,01011
50,01308,"Kripan, Laguardia, Lanciego/Lantziego",1,Araba,01019
51,01309,"Elvillar/Bilar, Laguardia, Leza, Navaridas",1,Araba,01023
52,01320,Oyón-Oion,1,Araba,01043
53,01321,Laguardia,1,Araba,01031
54,01322,"Moreda de Álava/Moreda Araba, Oyón-Oion, Yécora/Iekora",1,Araba,01039
55,01330,Labastida/Bastida,1,Araba,01028
56,01340,Elciego,1,Araba,01022
57,01400,Laudio/Llodio,1,Araba,01036
58,01408,Ayala/Aiara,1,Araba,01010
59,01409,Okondo,1,Araba,01042
60,01420,Erriberagoitia/Ribera Alta,1,Araba,01046
61,01423,"Erriberagoitia/Ribera Alta, Añana, Valdegovía/Gaubea, Lantarón",1,Araba,01046
62,01426,"Erriberagoitia/Ribera Alta, Añana, Valdegovía/Gaubea",1,Araba,01046
63,01427,"Valdegovía/Gaubea, Berberana, Jurisdicción de San Zadornil",1,Araba,01055
64,01428,"Erriberagoitia/Ribera Alta, Valdegovía/Gaubea, Iruña Oka/Iruña de Oca",1,Araba,01046
65,01430,Kuartango,1,Araba,01020
66,01439,Kuartango,1,Araba,01020
67,01440,Urkabustaiz,1,Araba,01054
68,01449,Urkabustaiz,1,Araba,01054
69,01450,"Amurrio, Urkabustaiz, Zuia",1,Araba,01002
70,01468,Amurrio,1,Araba,01002
71,01470,"Amurrio, Ayala/Aiara",1,Araba,01002
72,01474,Artziniega,1,Araba,01004
73,01476,Ayala/Aiara,1,Araba,01010
74,01477,Ayala/Aiara,1,Araba,01010
75,01478,"Artziniega, Ayala/Aiara",1,Araba,01004
76,01479,Ayala/Aiara,1,Araba,01010
77,01510,"Arratzua-Ubarrundia, Legutio, Vitoria-Gasteiz",1,Araba,01008
78,01520,"Arratzua-Ubarrundia, Vitoria-Gasteiz",1,Araba,01008
79,02001,Albacete,2,Albacete,02003
80,02002,Albacete,2,Albacete,02003
81,02003,Albacete,2,Albacete,02003
82,02004,Albacete,2,Albacete,02003
83,02005,Albacete,2,Albacete,02003
84,02006,Albacete,2,Albacete,02003
85,02007,Albacete,2,Albacete,02003
86,02008,Albacete,2,Albacete,02003
87,02049,Albacete,2,Albacete,02003
88,02071,Albacete,2,Albacete,02003
89,02099,"Albacete, Pozo Cañada",2,Albacete,02003
90,02100,"Tarazona de la Mancha, Lezo",2,Albacete,02073
91,02110,"Gineta,  La, Tarazona de la Mancha",2,Albacete,02035
92,02120,Peñas de San Pedro,2,Albacete,02060
93,02124,"Alcadozo, Ayna, Liétor",2,Albacete,02006
94,02125,Ayna,2,Albacete,02011
95,02126,Ayna,2,Albacete,02011
96,02127,Peñas de San Pedro,2,Albacete,02060
97,02128,"Alcadozo, Peñas de San Pedro",2,Albacete,02006
98,02129,Pozohondo,2,Albacete,02063
99,02130,Bogarra,2,Albacete,02017
100,02136,Paterna del Madera,2,Albacete,02058
101,02137,Paterna del Madera,2,Albacete,02058
102,02138,"Bogarra, Paterna del Madera, Peñascosa",2,Albacete,02017
103,02139,"Ayna, Bogarra",2,Albacete,02011
104,02140,Albacete,2,Albacete,02003
105,02141,Pozohondo,2,Albacete,02063
106,02142,"Liétor, Pozohondo",2,Albacete,02044
107,02150,Valdeganga,2,Albacete,02075
108,02151,Casas de Juan Núñez,2,Albacete,02021
109,02152,Alatoz,2,Albacete,02002
110,02153,Carcelén,2,Albacete,02020
111,02154,"Pozo-Lorente, Villavaliente",2,Albacete,02064
112,02155,Albacete,2,Albacete,02003
113,02156,Chinchilla de Monte-Aragón,2,Albacete,02029
114,02160,Lezuza,2,Albacete,02043
115,02161,Lezuza,2,Albacete,02043
116,02162,"Herrera,  La",2,Albacete,02038
117,02200,Casas-Ibáñez,2,Albacete,02024
118,02210,Alcalá del Júcar,2,Albacete,02007
119,02211,Alcalá del Júcar,2,Albacete,02007
120,02212,Casas de Ves,2,Albacete,02023
121,02213,"Balsa de Ves, Villa de Ves",2,Albacete,02013
122,02214,"Alcalá del Júcar, Balsa de Ves",2,Albacete,02007
123,02215,"Alborea, Villatoya",2,Albacete,02005
124,02220,Motilleja,2,Albacete,02052
125,02230,Madrigueras,2,Albacete,02045
126,02240,Mahora,2,Albacete,02046
127,02246,Navas de Jorquera,2,Albacete,02054
128,02247,Cenizate,2,Albacete,02026
129,02248,Jorquera,2,Albacete,02041
130,02249,"Fuentealbilla, Jorquera, Recueja,  La",2,Albacete,02034
131,02250,Abengibre,2,Albacete,02001
132,02251,Fuentealbilla,2,Albacete,02034
133,02252,Alcalá del Júcar,2,Albacete,02007
134,02253,Golosalvo,2,Albacete,02036
135,02260,Fuentealbilla,2,Albacete,02034
136,02270,Villamalea,2,Albacete,02079
137,02300,Alcaraz,2,Albacete,02008
138,02310,Viveros,2,Albacete,02085
139,02311,Povedilla,2,Albacete,02062
140,02312,Alcaraz,2,Albacete,02008
141,02313,Peñascosa,2,Albacete,02059
142,02314,"Alcaraz, Masegoso, Peñascosa",2,Albacete,02008
143,02315,Vianos,2,Albacete,02076
144,02316,Salobre,2,Albacete,02070
145,02320,Balazote,2,Albacete,02012
146,02326,San Pedro,2,Albacete,02071
147,02327,Pozuelo,2,Albacete,02065
148,02328,Albacete,2,Albacete,02003
149,02329,Casas de Lázaro,2,Albacete,02022
150,02330,Alcaraz,2,Albacete,02008
151,02331,Robledo,2,Albacete,02068
152,02332,Robledo,2,Albacete,02068
153,02340,Robledo,2,Albacete,02068
154,02350,Villapalacios,2,Albacete,02080
155,02360,Bienservida,2,Albacete,02016
156,02400,Hellín,2,Albacete,02037
157,02409,Hellín,2,Albacete,02037
158,02410,Liétor,2,Albacete,02044
159,02420,Hellín,2,Albacete,02037
160,02430,Elche de la Sierra,2,Albacete,02030
161,02434,Letur,2,Albacete,02042
162,02435,Socovos,2,Albacete,02072
163,02436,Férez,2,Albacete,02031
164,02437,Socovos,2,Albacete,02072
165,02439,Elche de la Sierra,2,Albacete,02030
166,02440,Molinicos,2,Albacete,02049
167,02448,"Bogarra, Molinicos",2,Albacete,02017
168,02449,"Elche de la Sierra, Molinicos",2,Albacete,02030
169,02450,Riópar,2,Albacete,02067
170,02459,"Paterna del Madera, Riópar",2,Albacete,02067
171,02460,Villaverde de Guadalimar,2,Albacete,02084
172,02461,Cotillas,2,Albacete,02028
173,02462,"Riópar, Villaverde de Guadalimar",2,Albacete,02067
174,02470,Elche de la Sierra,2,Albacete,02030
175,02480,Yeste,2,Albacete,02086
176,02482,Yeste,2,Albacete,02086
177,02484,Yeste,2,Albacete,02086
178,02485,Yeste,2,Albacete,02086
179,02486,Yeste,2,Albacete,02086
180,02487,Yeste,2,Albacete,02086
181,02488,Yeste,2,Albacete,02086
182,02489,Yeste,2,Albacete,02086
183,02490,Hellín,2,Albacete,02037
184,02498,Hellín,2,Albacete,02037
185,02499,Hellín,2,Albacete,02037
186,02500,Tobarra,2,Albacete,02074
187,02510,"Chinchilla de Monte-Aragón, Pozo Cañada",2,Albacete,02029
188,02511,Albacete,2,Albacete,02003
189,02512,Albacete,2,Albacete,02003
190,02513,Tobarra,2,Albacete,02074
191,02514,Tobarra,2,Albacete,02074
192,02520,Chinchilla de Monte-Aragón,2,Albacete,02029
193,02529,Chinchilla de Monte-Aragón,2,Albacete,02029
194,02530,Nerpio,2,Albacete,02055
195,02534,Nerpio,2,Albacete,02055
196,02535,Nerpio,2,Albacete,02055
197,02536,Nerpio,2,Albacete,02055
198,02537,Nerpio,2,Albacete,02055
199,02538,Nerpio,2,Albacete,02055
200,02539,Nerpio,2,Albacete,02055
201,02600,Villarrobledo,2,Albacete,02081
202,02610,"Bonillo,  El",2,Albacete,02019
203,02611,Ossa de Montiel,2,Albacete,02057
204,02612,"Munera, Villarrobledo",2,Albacete,02053
205,02613,"Bonillo,  El",2,Albacete,02019
206,02614,"Ballestero,  El",2,Albacete,02014
207,02620,Minaya,2,Albacete,02048
208,02630,"Roda,  La",2,Albacete,02069
209,02636,"Villalgordo del Júcar, Casas de Benítez",2,Albacete,02078
210,02637,Fuensanta,2,Albacete,02032
211,02638,Montalvos,2,Albacete,02050
212,02639,"Barrax, Roda,  La",2,Albacete,02015
213,02640,Almansa,2,Albacete,02009
214,02650,Montealegre del Castillo,2,Albacete,02051
215,02651,Fuente-Álamo,2,Albacete,02033
216,02652,Ontur,2,Albacete,02056
217,02653,Albatana,2,Albacete,02004
218,02660,Caudete,2,Albacete,02025
219,02690,"Alpera, Higueruela",2,Albacete,02010
220,02691,Bonete,2,Albacete,02018
221,02692,"Chinchilla de Monte-Aragón, Pétrola",2,Albacete,02029
222,02693,Corral-Rubio,2,Albacete,02027
223,02694,Higueruela,2,Albacete,02039
224,02695,Chinchilla de Monte-Aragón,2,Albacete,02029
225,02696,Hoya-Gonzalo,2,Albacete,02040
226,03001,Alicante/Alacant,3,Alicante,03014
227,03002,Alicante/Alacant,3,Alicante,03014
228,03003,Alicante/Alacant,3,Alicante,03014
229,03004,Alicante/Alacant,3,Alicante,03014
230,03005,Alicante/Alacant,3,Alicante,03014
231,03006,Alicante/Alacant,3,Alicante,03014
232,03007,Alicante/Alacant,3,Alicante,03014
233,03008,Alicante/Alacant,3,Alicante,03014
234,03009,Alicante/Alacant,3,Alicante,03014
235,03010,"Alicante/Alacant, Murcia",3,Alicante,03014
236,03011,Alicante/Alacant,3,Alicante,03014
237,03012,Alicante/Alacant,3,Alicante,03014
238,03013,Alicante/Alacant,3,Alicante,03014
239,03014,Alicante/Alacant,3,Alicante,03014
240,03015,Alicante/Alacant,3,Alicante,03014
241,03016,Alicante/Alacant,3,Alicante,03014
242,03100,Jijona/Xixona,3,Alicante,03083
243,03108,"Torremanzanas/Torre de les Maçanes,  la",3,Alicante,03132
244,03109,Tibi,3,Alicante,03129
245,03110,Mutxamel,3,Alicante,03090
246,03111,Busot,3,Alicante,03046
247,03112,Alicante/Alacant,3,Alicante,03014
248,03113,Alicante/Alacant,3,Alicante,03014
249,03114,Alicante/Alacant,3,Alicante,03014
250,03115,Alicante/Alacant,3,Alicante,03014
251,03130,Santa Pola,3,Alicante,03121
252,03138,Alicante/Alacant,3,Alicante,03014
253,03139,Elche/Elx,3,Alicante,03065
254,03140,Guardamar del Segura,3,Alicante,03076
255,03150,Dolores,3,Alicante,03064
256,03158,"Catral, Crevillent",3,Alicante,03055
257,03159,Daya Nueva,3,Alicante,03061
258,03160,Almoradí,3,Alicante,03015
259,03169,Algorfa,3,Alicante,03012
260,03170,Rojales,3,Alicante,03113
261,03177,"Daya Vieja, Formentera del Segura, San Fulgencio",3,Alicante,03062
262,03178,Benijófar,3,Alicante,03034
263,03179,"Almoradí, Formentera del Segura",3,Alicante,03015
264,03180,Torrevieja,3,Alicante,03133
265,03181,Torrevieja,3,Alicante,03133
266,03182,Torrevieja,3,Alicante,03133
267,03183,Torrevieja,3,Alicante,03133
268,03184,Torrevieja,3,Alicante,03133
269,03185,Torrevieja,3,Alicante,03133
270,03186,Torrevieja,3,Alicante,03133
271,03187,"Montesinos,  Los",3,Alicante,03903
272,03188,Torrevieja,3,Alicante,03133
273,03189,Orihuela,3,Alicante,03099
274,03190,Pilar de la Horadada,3,Alicante,03902
275,03191,"Orihuela, Pilar de la Horadada",3,Alicante,03099
276,03192,Orihuela,3,Alicante,03099
277,03193,San Miguel de Salinas,3,Alicante,03120
278,03194,Elche/Elx,3,Alicante,03065
279,03195,Elche/Elx,3,Alicante,03065
280,03201,Elche/Elx,3,Alicante,03065
281,03202,Elche/Elx,3,Alicante,03065
282,03203,Elche/Elx,3,Alicante,03065
283,03204,Elche/Elx,3,Alicante,03065
284,03205,Elche/Elx,3,Alicante,03065
285,03206,Elche/Elx,3,Alicante,03065
286,03207,Elche/Elx,3,Alicante,03065
287,03208,Elche/Elx,3,Alicante,03065
288,03290,Elche/Elx,3,Alicante,03065
289,03291,Elche/Elx,3,Alicante,03065
290,03292,Elche/Elx,3,Alicante,03065
291,03293,Elche/Elx,3,Alicante,03065
292,03294,Elche/Elx,3,Alicante,03065
293,03295,Elche/Elx,3,Alicante,03065
294,03296,Elche/Elx,3,Alicante,03065
295,03300,Orihuela,3,Alicante,03099
296,03310,"Jacarilla, Orihuela",3,Alicante,03080
297,03311,Orihuela,3,Alicante,03099
298,03312,Orihuela,3,Alicante,03099
299,03313,Orihuela,3,Alicante,03099
