RAW_CITY_DES,ORIGIN_DATA_ID,CITY_DES,CITY_ID,LOAD_TIME
Peńascosa,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Peñascosa,02059,2024-12-23 16:15:12.834 +0100
Fuentelespino de Moya,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Fuentelespino de Moya,16088,2024-12-23 16:15:12.834 +0100
Santa Amalia,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Santa Amalia,06120,2024-06-18 13:32:23.893 +0200
Riner,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Riner,25186,2024-06-18 13:32:23.893 +0200
Canalejas del Arroyo,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Canalejas del Arroyo,16045,2024-06-18 13:32:23.893 +0200
Pedroche,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Pedroche,14051,2024-06-18 13:32:23.893 +0200
Aitona,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Aitona,25038,2024-06-18 13:32:23.893 +0200
Caminreal,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Caminreal,44056,2024-06-18 13:32:23.893 +0200
Taha (La),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Taha, La",18901,2024-06-18 13:32:23.893 +0200
San José del Valle,AX_FLX_PLACE_BY_CITY_ALL_TODAY,San José del Valle,11902,2024-06-18 13:32:23.893 +0200
Cervera,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Cervera,25072,2024-06-18 13:32:23.893 +0200
Bellver de Cerdanya,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Bellver de Cerdanya,25051,2024-06-18 13:32:23.893 +0200
Granja d'Escarp (La),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Granja d'Escarp, La",25102,2024-06-18 13:32:23.893 +0200
Puebla de la Reina,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Puebla de la Reina,06104,2024-06-18 13:32:23.893 +0200
Vilanova de Meiŕ,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Vilanova de Meià,25250,2024-06-18 13:32:23.893 +0200
Lladurs,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Lladurs,25124,2024-06-18 13:32:23.893 +0200
Villanueva del Duque,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Villanueva del Duque,14070,2024-06-18 13:32:23.893 +0200
Guissona,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Guissona,25110,2024-06-18 13:32:23.893 +0200
Caldes de Malavella,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Caldes de Malavella,17033,2024-06-18 13:32:23.893 +0200
Montejícar,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Montejícar,18136,2024-06-18 13:32:23.893 +0200
